tensor,proj,stoc_len,halve,scramble,mse,rel_fro
L0.down_proj,down_proj,256,full,off,3.440489990680362e-07,0.011304090730845928
L0.down_proj,down_proj,256,full,counter,3.440489990680362e-07,0.011304090730845928
L0.down_proj,down_proj,256,full,bitrev,3.440489990680362e-07,0.011304090730845928
L0.down_proj,down_proj,256,halve,off,3.317902894650615e-07,0.01110087800770998
L0.down_proj,down_proj,256,halve,counter,2.1587779031051468e-07,0.00895425584167242
L0.down_proj,down_proj,256,halve,bitrev,2.0899952346553619e-07,0.008810451254248619
L0.down_proj,down_proj,192,full,off,5.565713081523427e-07,0.014377584680914879
L0.down_proj,down_proj,192,full,counter,3.84650974183387e-07,0.011952504515647888
L0.down_proj,down_proj,192,full,bitrev,3.5930369790548866e-07,0.011551978066563606
L0.down_proj,down_proj,192,halve,off,5.390880915001617e-07,0.014149965718388557
L0.down_proj,down_proj,192,halve,counter,3.84431672273422e-07,0.01194909680634737
L0.down_proj,down_proj,192,halve,bitrev,3.5956432498096547e-07,0.011556167155504227
L0.down_proj,down_proj,128,full,off,1.3470846624841215e-06,0.02236778289079666
L0.down_proj,down_proj,128,full,counter,6.651997068729543e-07,0.01571815274655819
L0.down_proj,down_proj,128,full,bitrev,5.585057465395948e-07,0.014402547851204872
L0.down_proj,down_proj,128,halve,off,1.2876242863057996e-06,0.021868553012609482
L0.down_proj,down_proj,128,halve,counter,6.588845167243562e-07,0.015643363818526268
L0.down_proj,down_proj,128,halve,bitrev,5.427357905318786e-07,0.01419775653630495
L0.down_proj,down_proj,96,full,off,2.57441024587024e-06,0.030921772122383118
L0.down_proj,down_proj,96,full,counter,1.3256790225568693e-06,0.02218935452401638
L0.down_proj,down_proj,96,full,bitrev,9.986026725528063e-07,0.019258474931120872
L0.down_proj,down_proj,96,halve,off,2.5117867608059896e-06,0.030543366447091103
L0.down_proj,down_proj,96,halve,counter,1.3143398973625153e-06,0.022094255313277245
L0.down_proj,down_proj,96,halve,bitrev,9.823229447647464e-07,0.019100846722722054
L0.down_proj,down_proj,64,full,off,6.967351964703994e-06,0.05086972564458847
L0.down_proj,down_proj,64,full,counter,2.405794930382399e-06,0.029891986399888992
L0.down_proj,down_proj,64,full,bitrev,1.8878311038861284e-06,0.026479333639144897
L0.down_proj,down_proj,64,halve,off,6.798355116188759e-06,0.050248999148607254
L0.down_proj,down_proj,64,halve,counter,2.3951572529767873e-06,0.029825827106833458
L0.down_proj,down_proj,64,halve,bitrev,1.8705533193497104e-06,0.02635788358747959
L0.down_proj,down_proj,48,full,off,1.2864644304499961e-05,0.0691232904791832
L0.down_proj,down_proj,48,full,counter,3.7302891087165335e-06,0.037221744656562805
L0.down_proj,down_proj,48,full,bitrev,3.9614542401977815e-06,0.038357723504304886
L0.down_proj,down_proj,48,halve,off,1.2691265510511585e-05,0.06865590810775757
L0.down_proj,down_proj,48,halve,counter,3.727021066879388e-06,0.03720543906092644
L0.down_proj,down_proj,48,halve,bitrev,3.940659553336445e-06,0.038256917148828506
L0.down_proj,down_proj,32,full,off,3.3675896702334285e-05,0.11183689534664154
L0.down_proj,down_proj,32,full,counter,7.400401500490261e-06,0.0524267740547657
L0.down_proj,down_proj,32,full,bitrev,6.073597432987299e-06,0.04749506711959839
L0.down_proj,down_proj,32,halve,off,3.3279273338848725e-05,0.11117634922266006
L0.down_proj,down_proj,32,halve,counter,7.3768651418504305e-06,0.05234333872795105
L0.down_proj,down_proj,32,halve,bitrev,6.034289981471375e-06,0.04734112694859505
L0.down_proj,down_proj,16,full,off,0.00015550960961263627,0.2403278648853302
L0.down_proj,down_proj,16,full,counter,2.096697426168248e-05,0.08824566006660461
L0.down_proj,down_proj,16,full,bitrev,1.58954098878894e-05,0.07683540135622025
L0.down_proj,down_proj,16,halve,off,0.0001547180872876197,0.23971545696258545
L0.down_proj,down_proj,16,halve,counter,2.0920791939715855e-05,0.08814842998981476
L0.down_proj,down_proj,16,halve,bitrev,1.5775900465087034e-05,0.07654601335525513
L0.gate_proj,gate_proj,256,full,off,7.910504791652784e-06,0.026632625609636307
L0.gate_proj,gate_proj,256,full,counter,7.910504791652784e-06,0.026632625609636307
L0.gate_proj,gate_proj,256,full,bitrev,7.910504791652784e-06,0.026632625609636307
L0.gate_proj,gate_proj,256,halve,off,7.054927209537709e-06,0.025151168927550316
L0.gate_proj,gate_proj,256,halve,counter,5.956406766927103e-06,0.023110220208764076
L0.gate_proj,gate_proj,256,halve,bitrev,6.003295311529655e-06,0.023201003670692444
L0.gate_proj,gate_proj,192,full,off,1.2804463949578349e-05,0.03388383984565735
L0.gate_proj,gate_proj,192,full,counter,1.070691450877348e-05,0.03098446875810623
L0.gate_proj,gate_proj,192,full,bitrev,1.057980080076959e-05,0.030799994245171547
L0.gate_proj,gate_proj,192,halve,off,1.1823045497294515e-05,0.032559413462877274
L0.gate_proj,gate_proj,192,halve,counter,1.0703047337301541e-05,0.030978873372077942
L0.gate_proj,gate_proj,192,halve,bitrev,1.0289370038663037e-05,0.030374299734830856
L0.gate_proj,gate_proj,128,full,off,3.4857082937378436e-05,0.055905867367982864
L0.gate_proj,gate_proj,128,full,counter,2.1585990907624364e-05,0.04399445280432701
L0.gate_proj,gate_proj,128,full,bitrev,2.063690590148326e-05,0.04301641508936882
