tensor,owen,stream,stoc_len,ref_rms,mse,rmse,max_abs,rel_fro,cos
L0.down_proj,off,full,256,0.051888901740312576,3.440489990680362e-07,0.000586556901816044,0.00802735984325409,0.011304090730845928,0.9999362230300903
L0.down_proj,off,full,128,0.051888901740312576,1.3470846624841215e-06,0.0011606397643042054,0.022508464753627777,0.02236778289079666,0.9997513294219971
L0.down_proj,off,full,64,0.051888901740312576,6.967351964703994e-06,0.0026395742014014294,0.05663260072469711,0.05086972564458847,0.9987235069274902
L0.down_proj,off,full,32,0.051888901740312576,3.3675896702334285e-05,0.005803093718210511,0.12375026196241379,0.11183689534664154,0.9939383268356323
L0.down_proj,off,full,16,0.051888901740312576,0.00015550960961263627,0.01247034921774993,0.2596352696418762,0.2403278648853302,0.9734361171722412
L0.down_proj,off,halve,128,0.051888901740312576,1.2876242863057996e-06,0.0011347353375592917,0.022362567484378815,0.021868553012609482,0.9997612833976746
L0.down_proj,counter,full,256,0.051888901740312576,3.440489990680362e-07,0.000586556901816044,0.00802735984325409,0.011304090730845928,0.9999362230300903
L0.down_proj,counter,full,128,0.051888901740312576,6.651997068729543e-07,0.0008155977604634249,0.009357979521155357,0.01571815274655819,0.9998764991760254
L0.down_proj,counter,full,64,0.051888901740312576,2.405794930382399e-06,0.0015510625165938345,0.022612154483795166,0.029891986399888992,0.9995535612106323
L0.down_proj,counter,full,32,0.051888901740312576,7.400401500490261e-06,0.002720367898003919,0.039060622453689575,0.0524267740547657,0.9986300468444824
L0.down_proj,counter,full,16,0.051888901740312576,2.096697426168248e-05,0.00457897087364426,0.041159361600875854,0.08824566006660461,0.9961286783218384
L0.down_proj,counter,halve,128,0.051888901740312576,6.588845167243562e-07,0.0008117170176387558,0.009442482143640518,0.015643363818526268,0.9998775720596313
L0.down_proj,bitrev,full,256,0.051888901740312576,3.440489990680362e-07,0.000586556901816044,0.00802735984325409,0.011304090730845928,0.9999362230300903
L0.down_proj,bitrev,full,128,0.051888901740312576,5.585057465395948e-07,0.00074733242037235,0.006153501570224762,0.014402547851204872,0.9998963475227356
L0.down_proj,bitrev,full,64,0.051888901740312576,1.8878311038861284e-06,0.0013739836621612822,0.011916637420654297,0.026479333639144897,0.9996496438980103
L0.down_proj,bitrev,full,32,0.051888901740312576,6.073597432987299e-06,0.0024644669673151024,0.032900892198085785,0.04749506711959839,0.9988733530044556
L0.down_proj,bitrev,full,16,0.051888901740312576,1.58954098878894e-05,0.0039869048004547835,0.06358937174081802,0.07683540135622025,0.9970650672912598
L0.down_proj,bitrev,halve,128,0.051888901740312576,5.427357905318786e-07,0.000736706040786879,0.006585061550140381,0.01419775653630495,0.99989914894104
L0.down_proj,random,full,256,0.051888901740312576,3.440489990680362e-07,0.000586556901816044,0.00802735984325409,0.011304090730845928,0.9999362230300903
L0.down_proj,random,full,128,0.051888901740312576,5.104748197481968e-07,0.0007144752058316627,0.006485797464847565,0.013769324868917465,0.9999051690101624
L0.down_proj,random,full,64,0.051888901740312576,1.7156218063973938e-06,0.0013098174706413844,0.010050605982542038,0.025242727249860764,0.9996817708015442
L0.down_proj,random,full,32,0.051888901740312576,5.0530397857073694e-06,0.0022478967471188196,0.026505008339881897,0.043321333825588226,0.9990624785423279
L0.down_proj,random,full,16,0.051888901740312576,1.4608160199713893e-05,0.0038220622966814517,0.032462045550346375,0.07365856319665909,0.9973007440567017
L0.down_proj,random,halve,128,0.051888901740312576,5.069747430752614e-07,0.0007120215889109412,0.0067102983593940735,0.013722038827836514,0.9999058246612549
L0.gate_proj,off,full,256,0.10560587793588638,7.910504791652784e-06,0.0028125619622779486,0.10084795951843262,0.026632625609636307,0.9996663331985474
L0.gate_proj,off,full,128,0.10560587793588638,3.4857082937378436e-05,0.005903988731135793,0.2374284267425537,0.055905867367982864,0.9987016916275024
L0.gate_proj,off,full,64,0.10560587793588638,0.000174094588146545,0.013194490825588724,0.679093599319458,0.12494087219238281,0.994106113910675
L0.gate_proj,off,full,32,0.10560587793588638,0.000827707233838737,0.028769901526399723,1.571216344833374,0.2724270820617676,0.9754427671432495
L0.gate_proj,off,full,16,0.10560587793588638,0.003875375958159566,0.062252517685307845,3.5630838871002197,0.5894796252250671,0.9152060151100159
L0.gate_proj,off,halve,128,0.10560587793588638,2.9743287086603232e-05,0.005453740650838031,0.19837069511413574,0.05164239555597305,0.998711347579956
L0.gate_proj,counter,full,256,0.10560587793588638,7.910504791652784e-06,0.0028125619622779486,0.10084795951843262,0.026632625609636307,0.9996663331985474
L0.gate_proj,counter,full,128,0.10560587793588638,2.1585990907624364e-05,0.004646072632624717,0.05713285505771637,0.04399445280432701,0.9990317821502686
L0.gate_proj,counter,full,64,0.10560587793588638,7.479425403289497e-05,0.008648367131019298,0.15091079473495483,0.08189285546541214,0.9966566562652588
L0.gate_proj,counter,full,32,0.10560587793588638,0.00025852079852484167,0.016078581981158715,0.24264325201511383,0.15225082635879517,0.9886124134063721
L0.gate_proj,counter,full,16,0.10560587793588638,0.0008535305387340486,0.02921524497131675,0.5392858982086182,0.2766440808773041,0.9640845060348511
L0.gate_proj,counter,halve,128,0.10560587793588638,2.098567165376153e-05,0.004581012077452048,0.06109309196472168,0.043378379195928574,0.9990609884262085
L0.gate_proj,bitrev,full,256,0.10560587793588638,7.910504791652784e-06,0.0028125619622779486,0.10084795951843262,0.026632625609636307,0.9996663331985474
L0.gate_proj,bitrev,full,128,0.10560587793588638,2.063690590148326e-05,0.004542786138646993,0.04334643483161926,0.04301641508936882,0.9991394281387329
L0.gate_proj,bitrev,full,64,0.10560587793588638,6.943503103684634e-05,0.008332768509735905,0.08190777897834778,0.0789043977856636,0.9970073103904724
L0.gate_proj,bitrev,full,32,0.10560587793588638,0.00022981525398790836,0.015159658768847945,0.16162747144699097,0.143549382686615,0.9901626110076904
L0.gate_proj,bitrev,full,16,0.10560587793588638,0.0007163810660131276,0.02676529592612657,0.23647502064704895,0.2534451186656952,0.9701905250549316
L0.gate_proj,bitrev,halve,128,0.10560587793588638,1.934277497639414e-05,0.004398042175376918,0.04983949661254883,0.04164580628275871,0.9991346597671509
L0.gate_proj,random,full,256,0.10560587793588638,7.910504791652784e-06,0.0028125619622779486,0.10084795951843262,0.026632625609636307,0.9996663331985474
L0.gate_proj,random,full,128,0.10560587793588638,1.942691596923396e-05,0.004407597528045632,0.04428832232952118,0.041736289858818054,0.9991292953491211
L0.gate_proj,random,full,64,0.10560587793588638,6.59592988085933e-05,0.008121533033152873,0.1588144749403,0.07690417766571045,0.9970684051513672
L0.gate_proj,random,full,32,0.10560587793588638,0.00021150782413315028,0.01454330856900005,0.17267319560050964,0.13771305978298187,0.9906837344169617
L0.gate_proj,random,full,16,0.10560587793588638,0.0006530385580845177,0.02555461911444813,0.2314978390932083,0.24198101460933685,0.9717569947242737
L0.gate_proj,random,halve,128,0.10560587793588638,1.8833185094990768e-05,0.004339721776219159,0.049389421939849854,0.04109356179833412,0.9991559386253357
L0.k_proj,off,full,256,1.44193696975708,0.0008907048613764346,0.02984467894577582,0.19739842414855957,0.02069762907922268,0.999854564666748
L0.k_proj,off,full,128,1.44193696975708,0.004985070787370205,0.07060503372543778,0.43572497367858887,0.04896540567278862,0.9992907643318176
L0.k_proj,off,full,64,1.44193696975708,0.027869023382663727,0.16694017905424605,0.9832384586334229,0.11577492952346802,0.9965884685516357
L0.k_proj,off,full,32,1.44193696975708,0.1368725597858429,0.3699629167711852,2.1288437843322754,0.25657355785369873,0.9866440892219543
L0.k_proj,off,full,16,1.44193696975708,0.6286499500274658,0.7928744856706299,4.504376411437988,0.5498676300048828,0.9578056335449219
L0.k_proj,off,halve,128,1.44193696975708,0.0040959445759654045,0.06399956699826495,0.43166518211364746,0.044384438544511795,0.9993191957473755
L0.k_proj,counter,full,256,1.44193696975708,0.0008907048613764346,0.02984467894577582,0.19739842414855957,0.02069762907922268,0.999854564666748
L0.k_proj,counter,full,128,1.44193696975708,0.00043318193638697267,0.02081302323995658,0.1790027618408203,0.014434071257710457,0.9998961687088013
L0.k_proj,counter,full,64,1.44193696975708,0.0015591076808050275,0.039485537615752776,0.35655975341796875,0.027383675798773766,0.9996308088302612
L0.k_proj,counter,full,32,1.44193696975708,0.004884055815637112,0.06988602017311554,0.4548303484916687,0.0484667606651783,0.9988904595375061
L0.k_proj,counter,full,16,1.44193696975708,0.018833525478839874,0.1372352923953597,0.9723949432373047,0.09517426043748856,0.9964960217475891
L0.k_proj,counter,halve,128,1.44193696975708,0.0004327154310885817,0.020801813168293326,0.1338028907775879,0.014426298439502716,0.9998959302902222
L0.k_proj,bitrev,full,256,1.44193696975708,0.0008907048613764346,0.02984467894577582,0.19739842414855957,0.02069762907922268,0.999854564666748
L0.k_proj,bitrev,full,128,1.44193696975708,0.00046404506429098547,0.02154170523173561,0.17382431030273438,0.01493942178785801,0.9999051094055176
L0.k_proj,bitrev,full,64,1.44193696975708,0.0014633149839937687,0.03825330030198399,0.2711219787597656,0.026529107242822647,0.999704897403717
L0.k_proj,bitrev,full,32,1.44193696975708,0.0040865568444132805,0.06392618277680344,0.6287202835083008,0.04433354362845421,0.9991439580917358
L0.k_proj,bitrev,full,16,1.44193696975708,0.011857520788908005,0.10889224393366134,0.9051733016967773,0.07551802694797516,0.9974076747894287
L0.k_proj,bitrev,halve,128,1.44193696975708,0.0003912117099389434,0.01977907252474047,0.19343948364257812,0.013717014342546463,0.9999059438705444
L0.k_proj,random,full,256,1.44193696975708,0.0008907048613764346,0.02984467894577582,0.19739842414855957,0.02069762907922268,0.999854564666748
L0.k_proj,random,full,128,1.44193696975708,0.00037296570371836424,0.0193123199983421,0.15276765823364258,0.013393315486609936,0.9999107122421265
L0.k_proj,random,full,64,1.44193696975708,0.0010164127452298999,0.03188122872835832,0.18833446502685547,0.022110000252723694,0.9997556805610657
L0.k_proj,random,full,32,1.44193696975708,0.003094426356256008,0.05562756831154862,0.42165279388427734,0.03857836127281189,0.999255895614624
L0.k_proj,random,full,16,1.44193696975708,0.008380347862839699,0.09154423992168868,0.6562281250953674,0.0634869858622551,0.9979915022850037
